given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,canonical_id
joshua,fauser,2,unt 2,harrington pcircuit,kingsford,2280,nsw,19820606,4981335,0
zalk,matthews,308,solly place,fai rawy,valoa,2138,sa,,8924972,1
holly,matthews,47,mountain circuit,fairholme,west lakes shore,5085,nsw,19721010,5642441,2
charlotute,bishdop,24,bourne street,dp 808602,port macquarie,3484,sa,19420131,5896457,3
charlote,dixon,8,lavan place,afflexian,booragul,3196,sa,19920713,7020668,4
amelia,kingswell,,sunny rbaes,balbo place,tuchekoi,3192,vic,19520510,7388956,5
ben,chorny,16,mcquade close,our folly,bonnyirgg,4120,qld,19481025,3512659,6
emiily,cambell,12,mokoan place,rosettzv illage,balwyn north,3551,vic,19580917,3440031,7
danilela,steinbacher,43,brigden crescent,thevillage condo 7,bridgewater,6110,vid,19360208,7992465,8
timothy,modystacuh,32,julia flynn avenue,rcg cnetre,charlestown,4655,vic,19671125,2430632,9
hayley,white,,medley tsreet,raymond terrace market place,regents park,2656,vic,19391111,6020101,10
juliana,wilde,20,westal l place,portland house,eden,4808,wa,19381207,3048642,11
belnda,hilton,3,beltana road,villa 2,botany,2171,vix,,6397676,12
joshua,cupo,16,greglea village,gabriel place,lobethal,5126,qld,19670425,4178304,13
geogia,simmovnds,16,hurley street,iowana,mittagong,2100,nsw,19230413,5714791,14
sarah,dixln,107,corellawplace,stapleton tsation,kelmscott,2304,qld,,1565265,15
emiily,beams,11,bissenberger crescent,,wombat,4703,tas,,7917828,16
julia,commons,33,nungara street,glenhubrst,chester hill,4470,wa,19350922,1606130,17
lachln,murton,191,barraclough crescent,medcl cntr (cnr queen s street,east hills,2707,nsw,19770527,2068877,18
amy,seetoy,50,busbh street,bellfield,st albans,2870,qld,19160523,4467636,19
emma,adzaip,38,amherst street,,nairne,4860,sa,19050421,5988275,20
alissa,yelds,2,bingley crescent,woodlands house,leeton,3012,sa,19881106,8003824,21
madeline,spicer,6,meyrick rplace,the mews royal hotel bldg,marks point,3196,nsw,19430521,1722390,22
annabelle,berry,40,cherry haven,rowntree crescent,tongala,6028,wa,19430705,2510289,23
luke,beattie,16,blinkhorn place,lucerneoark,corrimal,4118,act,19211118,5586410,24
jakc,carucro,01,kirkland circuit,willow lodge,blackburt north,6275,vic,19000604,8374407,25
james,rankine,7,beattie crescent,,north hobart,2072,sa,19030624,1444708,26
luke,harrington,80,jaeger circuit,,hughes,4215,nsw,19340611,4560409,27
benjamin,lovelock,1,tanumbirin i street,apmnt 203,willetton,4570,nsw,19980628,6282406,28
jackon,simmonds,4,raymonad street,ainslie house,tongala,2164,nsw,19020519,8651617,29
aleesha,mahmud,101,saraji imne,mcculloch street,ulvertsone,6064,nsw,,9126691,30
isabella,ryan,61,downes place,spring ridge,ardeer,3058,nsw,19331204,4702512,31
deakin,peachey,16,officer crescent,tes bury,nollamara,2144,tas,,3378938,32
jayden,blake,3,kemsley place,mlc ceyntre,kariong,2210,qld,19020112,7106228,33
amber,kerslak-eling,5,glencros s street,lumley,wahronga,4897,sa,19031228,1079968,34
kailey,herbert,40,popplewell place,rp 240o89,clevelxnd,7470,vic,19381017,7131960,35
harry,reid,15,kalgoorlie crescent,aldersydeestate,new town,2077,sa,19460708,5924879,36
lauren,perrwe,22,castleton crescent,karinayh,oran ge,7250,act,19820605,6993851,37
konstantinos,white,13,lascelles circuit,,crookwell,2211,wa,19440706,5173965,38
,oreskovic,16,marrakai strqeet,gooroomon park,ballaat,2035,wa,19710815,4253689,39
lauern,ryna,115,jardine street,adelaide dental hospital,broadbeach waters,4207,vic,19420313,6195510,40
isabella,zimmermann,25,lampard circuit,monto carajvanpark,pattersno lakes,2280,nsw,19080814,4093298,41
jasper,rylands,10,abernethy treet,,ingleburn,2784,nsw,19730615,9353426,42
jacinta,lenzi,10,couvreur street,mtdr sydale,mortlkae,2068,qld,19640807,1067001,43
tyron,klemm,43,clem hill street,,st kilda,4205,qld,19751020,5119969,44
,white,24,maddock place,headland garden,roseb ay,2380,qld,19560217,8506035,45
cain,dietrich,40,eugenia street,legacy u nits,bunbury,3782,tsa,19550801,2545231,46
georgia,benger,1,mccay p lace,braeburn,pimpama,2153,nsw,19830402,3445535,47
zachary,coffye,21,fellows street,brigalow court,kariong,5301,qld,19240219,4912880,48
james,reid,30,snodgrass crescent,diabllo,belmont,2261,qld,19790129,2073967,49
irene,aldehan,9,tumbletovn place,,wahroonga,3226,,19670316,7471765,50
ella,wilkins,468,hodgson crescent,currandina,ellenbrok,2615,sa,19010903,2654739,51
rory,jehle,125,companion crescent,brinjrarmy,cromer,2340,nsw,19730227,1533301,52
jacob,maynard,11,lutana street,caprice,lower templestowe,2702,nsw,19370219,2009297,53
campbell,clarke,14,wootton crescent,the manor garden,northmead,3625,vic,19220610,7658745,54
brooe,burford,28,,moolooboola,kinglake west,4560,nsw,,7438993,55
flynn,guduguhtla,44,ballumbir street,coolibafh,terranera,6057,nsw,19211004,6413064,56
zali,eglinton,14,adcock place,trewilga,woodlajnds,2122,qld,19300914,7126898,57
amber,braunack,28,alchemy,fingleton crescent,campsie,2508,act,19420513,7964228,58
beau,dallas,19,lange place,,blakeview,0827,vic,19581021,2569822,59
braiden,hering,26,snowde n place,peppercor lodge,new farm,3016,nsw,19240408,7720229,60
katelyn,dixon,8,melba street,surfsied park,auburn,3104,nsw,19730618,2599418,61
jamke,boecke,42,dirrawan garden,,whitfield,2099,qld,19321217,7045068,62
nicola,orchatd,12,mollison street,,cherrybrook,3915,nsw,19530103,1330482,63
paige,webb,,arthaldo court,,cardkff,5023,vic,19341104,6388140,64
sebastian,papagfeorgiou,192,carstensz street,,cherrybrook,2479,vic,19570326,5979503,65
damien,couzens,32,paulcoe crescent,,greensborough,3206,qld,19940415,7719637,66
william,stanley,10,benbullen lowline stud,steffanoni circuit,ranelagh,3148,nsw,19260501,1891847,67
samule,satterley,,osmand street,cascade condo,scotland island,6151,wa,19620515,1430466,68
owen,grezn,5,dryandrazstreet,bythorne,campbelltown,3175,vic,19160427,4013988,69
,plumb,41,mcrae place,castlewood,pakenham,4241,nsw,19460521,2390847,70
ben,white,466,louisloder street,parry hse,wake ley,6163,qld,19670921,9376814,71
imogen,beaty,68,hilders treet,,toowoomba,2120,nsw,19771106,4994511,72
jack,bridgland,170,thermeda place,mirreanda,berkeleyv ale,2286,nsw,19980721,2930436,73
trey,goetdze,4,petterd street,bonnu doon,brighton,7054,vic,19250118,1744778,74
lewis,portlok,11,english court,,burwood,2452,nsw,19240603,6036701,75
jack,rulsf,10,suttor sreet,huongold,mossman,3884,qld,19260612,6246735,76
dale,shreriff,16,oxley street,brentwood vlge,whitton,2024,vic,19850402,4498530,77
madeline,jeffries,22,saywell place,little nest,charlestown,6430,nsw,19810222,3776945,78
willoavm,cheers,18,ollera,kirwan circuit,,6026,nsw,19550419,5986242,79
blake,harrington,36,gliding gulls,meredith circuit,sunshinel north,3192,nsw,19561129,5264440,80
robert,leane,8,green street,court units,broadbeadh waters,4128,vic,19880611,3938828,81
abbey,,17,stark e street,,fadden,2286,vic,19150829,6050399,82
nathan,dunstone,41,shirlow place,poldoe park,blacutown,3820,nsw,19001013,1854047,83
